StationName,ELEV,PANN,TANN,SFANN,LAT,LONG
PtKells,9,1536,8.9,58,49.15,122.7
NVanRed,229,2292,,87,49.36666667,123.0833333
NVan2nd,4,1826,,45,49.3,123.0166667
NVanHoly,183,1943,,72,49.35,123.0833333
NVanLynn,191,2696,,118,49.36666667,123.0333333
NVanClo,79,1860,10,88,49.31666667,123.05
WVanPalm,122,1919,,58,49.33333333,123.15
WVanRena,146,2104,,69,49.33333333,123.15
Whalley,84,1574,9.8,77,49.18333333,122.8333333
WVanMacB,55,1933,,59,49.33333333,123.1166667
WVanMill,381,2412,,148,49.36666667,123.1333333
WVanDund,2,1803,,45,49.33333333,123.1833333
VanPMO,59,1589,,61,49.28333333,123.1166667
VanSFra,64,1353,,69,49.21666667,123.0666667
VanUBC,87,1258,9.8,55,49.25,123.25
VanKits,34,1367,10.2,70,49.25,123.1666667
VanOak53,82,1324,10.3,69,49.21666667,123.1333333
DeltaLadS,2,879,9.7,35,49.06666667,123.0833333
Ladner,1,982,9.1,34,49.08333333,123.0166667
LadnerMon,0,943,9.3,25,49.06666667,123.1166667
VanDunbarS,61,1257,10.3,54,49.25,123.1833333
VanHarbour,0,1540,10.3,60,49.3,123.1166667
VanCityHall,86,1221,,51,49.28333333,123.1166667
VanDunbar,61,1299,,58,49.23333333,123.1833333
Steveston,1,1023,9.3,51,49.11666667,123.1833333
PortMoody,130,1889,9.7,60,49.28333333,122.8833333
PittMead,6,1805,,61,49.23333333,122.6833333
PittPold,2,2285,9.4,55,49.3,122.6333333
NVanWhar,6,1764,,52,49.31666667,123.1166667
WhiteRock,61,1093,9.4,41,49.03333333,122.8333333
WhiteRockSTP,15,1059,10.1,45,49.01666667,122.7666667
Burquit,61,1750,,65,49.25,122.8833333
VanIntA,3,1113,9.8,60,49.18333333,123.1666667
VanKerr,88,1297,,68,49.23333333,123.1333333
BurnabySFU,366,1935,9.1,109,49.28333333,122.9166667
PoCoCity,7,1931,10.2,58,49.26666667,122.7666667
LadnerPG,0,1014,,28,49.08333333,123.1
NewWest,119,1578,10.1,62,49.21666667,122.9333333
NewWestBCP,18,1581,10.1,61,49.21666667,122.9
NewWestW,84,1470,,59,49.21666667,122.9333333
NVanCap,67,1985,,64,49.33333333,123.1
NVanCleve,157,2297,,71,49.36666667,123.1
BurnCapHill,183,1936,,96,49.28333333,122.9833333
BurnMtnTerm,137,1872,10.2,62,49.26666667,122.9333333
BurnBrant,125,1649,,59,49.23333333,122.9666667
IOCO,53,2042,,55,49.3,122.8833333
DeltaTsaBea,2,858,,39,49.01666667,123.1
DeltaPebble,12,891,,23,49.01666667,123.0666667
DeltaTswa,53,919,,49,49.01666667,123.1
NVanSeym,9,1956,,53,49.31666667,123.0166667
NVanUppLyn,177,2612,,123,49.35,123.0333333
